wiki_name,lon,lat,views,roads
Stadio della Roma,41.828722222222,12.425472222222,62643,
Colosseum,41.890277777778,12.492222222221999,2133252,Piazza del Colosseo
Panthéon,48.846111111111,2.3458333333333,322901,Place du Panthéon
Piazza Navona,41.898888888889,12.473055555556,200052,Piazza Navona
Spanish Steps,41.906027777778,12.482777777778,328490,Piazza di Spagna
Castel Gandolfo,41.746747222222,12.650586111111,75967,Piazza della Libertà
Piazza Venezia,41.896388888889,12.4825,89786,Piazza Venezia
Roman Forum,41.8922,12.4852,485531,Via della Salara Vecchia
Piazza del Popolo,41.910555555556,12.476388888889,95407,Piazza del Popolo
"Pantheon, Rome",41.8986,12.4768,1147785,Via della Minerva
St. Peter's Basilica,41.902222222222,12.453333333333001,989100,Via del Governatorato
Via dei Fori Imperiali,41.891944444444,12.489166666666998,20741,Via dei Fori Imperiali
MAXXI,41.928999999999995,12.466,47094,Via Guido Reni
Altare della Patria,41.894599,12.483092,227378,Via del Teatro di Marcello
Chiostro del Bramante,41.899918,12.471748,3479,Arco della Pace
Ponte Milvio,41.935555555556,12.466944444444001,27054,Ponte Milvio
Parco della Musica,41.929075,12.474557,14677,Viale De Coubertin Pietro
Castel Sant'Angelo,41.9031,12.4663,300875,Lungotevere Castello
"Orange Garden, Rome",41.8851,12.4804,15798,Piazza Pietro D'Illiria
Capitoline Museums,41.8928,12.4824,80025,Piazza del Campidoglio
Palatine Hill,41.888333333333,12.486944444444001,219482,Via di San Gregorio
Ponte Sant'Angelo,41.901666666667,12.466458333333001,60912,Ponte Sant'Angelo
Piazza di Spagna,41.90595,12.482058333333,60540,Piazza di Spagna
Capitoline Hill,41.893333333333004,12.483055555556,162152,Piazza del Campidoglio
Campo de' Fiori,41.8956,12.472166666666999,80826,Via del Pellegrino
Via del Corso,41.906027777778,12.478272222222,24191,Via del Corso
Circus Maximus,41.8859,12.4857,271936,Belvedere Romolo e Remo
Testaccio,41.876111111111,12.475,15461,Via Nicola Zabaglia
Arch of Constantine,41.889722222222,12.490833333333,147198,Piazza del Arco di Costantino
Pincian Hill,41.911666666666996,12.479722222222,22547,Viale degli Ippocastani
Roma Tiburtina railway station,41.910277777778,12.530833333333002,19225,Piazzale della Stazione Tiburtina
Rome,41.9,12.5,2049907,Via dei Sabelli
Bocca della Verità,41.888055555556,12.481666666667,112507,Piazza della Bocca della Verità
Ponte Sisto,41.892333333333,12.47075,13148,Piazza Trilussa
Villa Doria Pamphili,41.888000000000005,12.450999999999999,25229,Via Aurelia Antica
Villa Medici,41.908,12.482999999999999,54462,Viale della Trinità dei Monti
Sant'Antonio da Padova in Via Tuscolana,41.881455555556,12.520077777778,1209,Piazza Asti
Galleria Alberto Sordi,41.901055555556,12.4812,9136,Piazza Colonna
Parioli,41.932102777778,12.486819444444,8532,Via dei Campi Sportivi
Largo di Torre Argentina,41.895277777778,12.476944444444001,58352,Via di San Nicola de' Cesarini
Fontana dei Quattro Fiumi,41.898888888889,12.473055555556,93577,Piazza Navona
Via Condotti,41.9051,12.4805,21254,Via Bocca di Leone
Tiber Island,41.890833333333,12.477222222221998,34594,Via di Ponte Quattro capi
Pyramid of Cestius,41.876388888889,12.480833333333,66206,Piazzale Ostiense
Trevi Fountain,41.900875,12.483166666667,561619,Piazza di Trevi
Antico Caffè Greco,41.905558,12.481436,18465,Via dei Condotti
Foro Italico,41.930704999999996,12.456692,28255,Viale dei Gladiatori
Villa Lante,42.425833333333,12.154722222221999,24240,Via Jacopo Barozzi
Cinecittà,41.852013888889,12.577308333333,66050,Via Tuscolana
Metropolitan City of Rome Capital,41.893055555556,12.482777777778,18741,Piazza del Campidoglio
Doria Pamphilj Gallery,41.897669,12.481145,28244,Piazza Grazioli
Tiber,41.7405,12.2334,161072,Via Passo della Sentinella
Italian Open (tennis),41.929222222222,12.455961111111,144033,Viale dei Gladiatori
"Sant'Ignazio, Rome",41.898999999999994,12.479777777778,573,Piazza S. Ignazio
Via Margutta,41.908888888888995,12.479166666666998,8470,Via Margutta
Villa Borghese gardens,41.914166666667,12.492222222221999,92486,Piazzale Borghese Scipione
Ponte Umberto I,41.902777777778,12.471111111111,3348,Ponte Umberto I
Piazza della Rotonda,41.899305555556005,12.47675,15773,Piazza della Rotonda
San Luigi dei Francesi,41.899722222221996,12.474722222221999,34952,Via di S. Giovanna d'Arco
Ponte Vittorio Emanuele II,41.901111111111,12.464166666667,6073,Lungotevere dei Fiorentini
National Roman Museum,41.901252777778,12.498294444444001,39720,Largo di Villa Peretti
Trastevere,41.887222222222,12.465555555556,67145,Via Nicola Fabrizi
Ara Pacis,41.906388888889,12.475555555556,111879,Via di Ripetta
Stadio dei Marmi,41.934290000000004,12.45738,10424,Viale dello Stadio dei Marmi
Monte Sacro (quarter),41.933333333333,12.533333333333001,1875,Via Nomentana
Chamber of Deputies (Italy),41.901388888888995,12.478611111111,86269,Via del Parlamento
Università Cattolica del Sacro Cuore,45.463055555556004,9.1766666666667,28653,Piazza Sant'Ambrogio
San Pietro in Vincoli,41.893872222222,12.493069444444,67755,Via Eudossiana
Piazza della Minerva,41.898055555556,12.4775,9013,Piazza della Minerva
Via della Conciliazione,41.9023,12.462,18069,Via della Conciliazione
Temple of Hadrian,41.9,12.479444444444,22583,Piazza di Pietra
"Orto Botanico dell'Università di Roma ""La Sapienza""",41.891999999999996,12.464,7577,Largo Cristina di Svezia
Via Giulia,41.8942,12.4701,6687,Via Giulia
San Silvestro in Capite,41.903111111111,12.480638888889,14075,Piazza di San Silvestro
Torre Maura (Rome Metro),41.866915999999996,12.596878,1316,Via dell'Aquila Reale
Via del Babuino,41.908136999999996,12.479510000000001,4314,Vicolo dell'Orto di Napoli
Babington's tea room,41.906000000000006,12.4823,9721,Piazza di Spagna
RAI,41.917777777778,12.466388888889,92447,Viale Giuseppe Mazzini
Conca d'Oro (Rome Metro),41.939444444444,12.527777777778,3748,Piazza Conca d'Oro
Villa Farnesina,41.893611,12.4675,27281,Via della Lungara
Libia (Rome Metro),41.932777777778,12.520555555556,2457,Viale Libia
Piazza Colonna,41.901055555556,12.479916666666998,19282,Piazza Colonna
Fontana della Barcaccia,41.905833333333,12.482291666666999,23768,Piazza di Spagna
Janiculum,41.891666666667,12.461111111111,33093,Via G. Garibaldi
Teatro Adriano,41.9059,12.4698,1880,Piazza Camillo Benso Conte di Cavour
Monti Tiburtini (Rome Metro),41.915833333333,12.547777777778,1259,Via dei Monti Tiburtini
Sant'Andrea della Valle,41.895833333333,12.474444444444,26816,Piazza Vidoni
Portuense,41.85523870000001,12.452900999999999,1449,Viale Prospero Colonna
Santa Maria sopra Minerva,41.898055555556,12.478333333333001,53511,Piazza della Minerva
Bambino Gesù Hospital,41.8975,12.460833333333001,16851,Piazza di Sant'Onofrio
Libera Università Maria SS. Assunta,41.903055555556,12.462777777778001,4819,Borgo Sant'Angelo
University of Rome Tor Vergata,41.853611111111,12.603333333333001,26927,
Palazzo Braschi,41.8973,12.4729,5864,Piazza di San Pantaleo
Pietralata (Rome Metro),41.914722222222,12.555,1636,Via di Pietralata
Palazzo della Civiltà Italiana,41.836683333333,12.465308333333,43263,Quadrato della Concordia
Fontana delle Tartarughe,41.893888888888995,12.4775,11151,Piazza Mattei
Palazzo Venezia,41.896111111111004,12.481666666667,43280,Via del Plebiscito
Sant'Agnese in Agone,41.898888888889,12.4725,39111,Via di Santa Maria dell'Anima
Vatican Museums,41.906388888889,12.454444444444,188183,
Porta Furba - Quadraro (Rome Metro),41.8638,12.5483,1553,Via Tuscolana
Sant'Ivo alla Sapienza,41.898333333333,12.474444444444,25774,Corso del Rinascimento
Teatro Argentina,41.895583333333,12.476166666666998,11999,Via di Torre Argentina
San Lorenzo in Lucina,41.903416666667,12.478694444444,10425,Piazza di San Lorenzo in Lucina
Sant'Eustachio,41.898672,12.475715,8400,Via di S. Eustachio
Quattro Venti railway station,41.878611111111,12.458611111110999,1244,Viale dei Quattro Venti
Palazzo Spada,41.894027777778,12.471805555556,21024,Via Capo di Ferro
Santa Maria del Popolo,41.911389,12.476389,16790,Piazza del Popolo
Vatican City,41.903333333333,12.453333333333001,2005209,Via del Governatorato
John Cabot University,41.887777777778,12.467222222221999,22908,Via Goffredo Mameli
National Etruscan Museum,41.918375,12.477657,14247,Via di Villa Giulia
Villa Lante al Gianicolo,41.893094444443996,12.460697222221999,6063,Passeggiata del Gianicolo
Rome Urbe Airport,41.951944444443996,12.498888888889,9174,
Via di Ripetta,41.907227777778,12.475833333333002,2160,Via di Ripetta
San Carlo al Corso,41.905369444444,12.477916666667,9270,Largo dei Lombardi
Church of the Gesù,41.895833333333,12.479722222222,76892,Via degli Astalli
Anagnina (Rome Metro),41.842777777778004,12.586111111111,5388,Via Tuscolana
Istituto Europeo di Design,45.478055555556004,9.2275,13977,Piazza Leonardo da Vinci
Trajan's Forum,41.895555555556,12.485833333333002,65878,Via Quattro Novembre
"Palace of Justice, Rome",41.903611111111005,12.470833333333001,19911,Piazza dei Tribunali
Museo di Roma,41.8973,12.4729,8388,Piazza di San Pantaleo
Regia,41.891967,12.486595,27365,Via in Miranda
Monte Sacro,41.9408,12.5325,5451,Piazza Carnaro
Baths of Caracalla,41.879443888889,12.493056111110999,115781,
San Girolamo a Corviale,41.8526,12.4221,576,Via dei Buonvisi
Palazzo Farnese,41.894722222222,12.470833333333001,67333,Piazza Farnese
"Palazzo Corsini, Rome",41.893329,12.466586,13769,Via della Lungara
Vermicino,41.823611111111,12.6425,1265,Via di Passo Lombardo
Mausoleum of Augustus,41.906111111111,12.476388888889,98797,Via Mario Dè Fiori
Circo Massimo (Rome Metro),41.883611111111,12.488055555555999,3248,Via del Circo Massimo
Roman Ghetto,41.8924,12.4775,52742,Via del Tempio
Santa Sabina,41.884444444444,12.479722222222,49449,Piazza Pietro D'Illiria
Stadio Olimpico del Nuoto,41.929334000000004,12.457627,5229,Lungotevere Maresciallo Cadorna
Lake Bracciano,42.121111111111,12.231944444444,19596,
Theatre of Marcellus,41.891666666667,12.479166666666998,37301,Via di Monte Savello
"Sant'Agostino, Rome",41.900833333333004,12.474166666667,190,Piazza di S. Agostino
Arco di Travertino (Rome Metro),41.8659,12.5347,1919,Via dell'Arco di Travertino
Porta del Popolo,41.911563888889,12.475983333333001,10163,Piazza del Popolo
Via dei Coronari,41.900777777778,12.469583333333,4213,Via dei Coronari
Capannelle Racecourse,41.823611111111,12.569166666666998,3991,Via Appia Nuova
Villa del Priorato di Malta,41.883611111111,12.4775,23643,Piazza dei Cavalieri di Malta
Senate of the Republic (Italy),41.899191666667,12.474277777778001,44367,Piazza Madama
Ponte Regina Margherita,41.909703,12.472433,1954,Ponte Regina Margherita
Rome–Giardinetti railway,41.8647,12.6044,4609,Via Casilina
Column of Marcus Aurelius,41.900833333333004,12.479861111111,49282,Piazza Colonna
Stadio Flaminio,41.926955555556,12.4723,34768,Via Dorando Pietri
Palazzo Madama,41.8992,12.4743,20722,Via del Salvatore
Teatro Quirino,41.8999,12.4825,1381,Via delle Vergini
Romics,41.806179,12.326409,4352,Via Portuense
"Santi Apostoli, Rome",41.898105555556,12.483205555556,16857,Piazza Santi Apostoli
Santa Maria in Vallicella,41.898611111111,12.469166666666998,14847,Via del Governo Vecchio
San Marcello al Corso,41.898680555556,12.481761111111,9520,Via del Corso
Palermo,38.116666666667,13.366666666667,416258,Via Merlo
Palazzetto dello Sport,41.929617,12.470732,11310,Piazza Apollodoro
Colosseo (Rome Metro),41.891388888889,12.491388888889,6868,Piazza del Colosseo
Giulio Agricola (Rome Metro),41.856666666666996,12.5625,1978,Via Tuscolana
Salesian Pontifical University,41.959166666667,12.521666666666999,4926,Piazza A. Fradeletto
Museum of Contemporary Art of Rome,41.9136,12.5028,8187,Via Nizza
Numidio Quadrato (Rome Metro),41.8621,12.5527,1569,Via Scrib. Curione
Torre Angela (Rome Metro),41.864318,12.625711,1313,Via Giuseppe Toraldo
Fontana della Piazza dei Quiriti,41.909236111111,12.4645,1640,Piazza dei Quiriti
Appian Way Regional Park,41.842455555556,12.528477777778,6619,Via Appia Antica
Milan,45.466666666667,9.1833333333333,1179325,Via Giorgio Giulini
Santa Croce alla Lungara,41.8945,12.466,1079,Via della Lungara
Lucio Sestio (Rome Metro),41.8599,12.5571,1207,Via Tuscolana
Turin,45.07916666666701,7.6761111111111,678438,Corso Regina Margherita
San Carlo ai Catinari,41.894194444444,12.47525,5717,Piazza Benedetto Cairoli
Piazza Borghese,41.9038,12.4761,2120,Piazza Borghese
Keats–Shelley Memorial House,41.905755555556,12.482613888889,7896,Piazza di Spagna
Pons Aemilius,41.889444444443996,12.479444444444,13807,Via di Ponte Rotto
"Colonna, City of Rome",41.833333333333,12.75,2526,Via Capocroce
Lake Albano,41.75,12.665,13543,Via dei Pescatori
Biblioteca Angelica,41.9008,12.4746,5813,Via della Scrofa
Fontana di Piazza Colonna,41.900833333333004,12.480277777778001,2136,Piazza Colonna
Lungotevere Michelangelo,41.9,12.47,522,Vicolo di Febo
"Protestant Cemetery, Rome",41.876000000000005,12.48,24581,Piazzale Ostiense
Santi Giovanni e Paolo al Celio,41.886388888888995,12.492222222221999,188,Piazza dei Santi Giovanni e Paolo
St. John's University (Italy),41.910406,12.467164,4585,Via Marcantonio Colonna
Roma Termini railway station,41.900833333333004,12.501944444444002,44747,Piazza dei Cinquecento
Biblioteca Vallicelliana,41.8981,12.4695,3971,Via della Chiesa Nuova
Palazzo Pamphilj,41.898333333333,12.472777777778001,14412,Via di Santa Maria dell'Anima
Santa Maria Maddalena,41.900073,12.476724,7669,Piazza della Maddalena
Stadium of Domitian,41.898888888889,12.473055555556,20042,Piazza Navona
Trinità dei Monti,41.906388888889,12.483611111111,32986,Piazza della Trinità dei Monti
San Giovanni dei Fiorentini,41.899696999999996,12.465022,10791,Piazza dell'Oro
Subaugusta (Rome Metro),41.8535,12.5682,1379,Piazza di Cinecittà
Temple University,39.981,-75.155,377689,North 13th Street
Massimiliano Massimo Institute,41.829730555556004,12.457327777778001,3264,Via Massimiliano Massimo
"Corso Vittorio Emanuele II, Rome",41.8969,12.4724,4585,Corso Vittorio Emanuele II
Santi Bonifacio ed Alessio,41.883647222222,12.478847222221999,3456,Piazza dei Cavalieri di Malta
Pontifical North American College,41.8975,12.459166666666999,13911,Via del Gianicolo
Galleria Spada,41.8939,12.4722,7726,Via Capo di Ferro
Milano Centrale railway station,45.486111111111,9.2036111111111,32451,Piazza Duca d'Aosta
Forum of Caesar,41.894008333333,12.484936111110999,22192,Via della Salara Vecchia
Teatro dell'Opera di Roma,41.900555555556004,12.495555555555999,20497,Via Firenze
Lungotevere De' Cenci,41.8918,12.4771,845,Piazza Mattei
"Sant'Angelo, Rome",41.893333333333004,12.477777777778002,4521,Via di S. Ambrogio
Santo Spirito in Sassia,41.901388888888995,12.461111111111,8868,Via dei Penitenzieri
Palazzo della Farnesina,41.937211111111004,12.457905555556,8399,Piazzale della Farnesina
Rome (department),41.9,12.5,4298,Via dei Sabelli
Temple of Saturn,41.892519444444,12.484183333333002,42469,Via del Campidoglio
"Santissima Trinità dei Pellegrini, Rome",41.893611111111,12.472777777778001,6766,Piazza della Trinità dei Pellegrini
Harry's Bar (Rome),41.909205555556,12.488277777778,9315,Via Vittorio Veneto
Santa Lucia del Gonfalone,41.897639,12.467333,1350,Via dei Banchi Vecchi
Fontana del Pantheon,41.899208333333,12.476666666666999,9430,Piazza della Rotonda
Museo Barracco di Scultura Antica,41.896111111111004,12.477222222221998,2756,Largo delle Stimmate
Palazzo Borghese,41.903888888889,12.476388888889,10721,Largo Fontanella di Borghese
Italy,43.0,12.0,4215267,Vocabolo Poggio del Vento
Campo Marzio,41.9,12.466666666666999,9938,Via del Banco di Santo Spirito
St. Peter's Square,41.902222222222,12.456944444444,157113,Piazza del Sant'uffizio
Santa Chiara a Vigna Clara,41.948022222222,12.456311111110999,1303,Via Riccardo Zandonai
Villa Celimontana,41.884166666667,12.494444444444001,7477,Viale Nilde Iotti
Temple of Venus and Roma,41.890833333333,12.489722222222,35443,Via Sacra
Ponte Cavour,41.904964,12.474385,1658,Ponte Cavour
Jardin du Luxembourg,48.846944444444,2.3372222222222003,129064,
Unione Rugby Capitolina,41.952666666667,12.483472222222,4519,Via Flaminia
Santa Maria dell'Orto,41.886895,12.474981,2688,Via Anicia
Celio (rione of Rome),41.881799,12.495317,3047,Via di Valle delle Camene
Pontifical University of the Holy Cross,41.900833333333004,12.473611111111,8324,Piazza di S. Apollinare
Zoomarine,41.6344,12.4574,2745,
Temple of Vesta,41.891664,12.486262,51295,Via della Salara Vecchia
Via Salaria,41.9,12.482999999999999,13963,Via delle Vergini
